abakus;abacus;Abakus
kosmografie;cosmography;Kosmographie
kosmologie;cosmology;Kosmologie
kosmonautika;astronautics;Raumfahrt
kosmonautka;astronaut;Astronaut
kosmonosy;cosmonosy;Kosmonosie
kosmopolitka;cosmopolitan;kosmopolitisch
kosovka;kosovka;kosovka
kostarika;Costa Rica;Costa Rica
kostelnice;church;Kirche
kostice;whalebone;Fischbein
kostival;comfrey;Beinwell
kostka;cube;Würfel
kostnice;ossuary;Beinhaus
kostomlaty;kostomlaty;kostomlatie
kostra;skeleton;Skelett
kosygin;kosygin;kosygin
kotangenta;cotangent;Kotangens
kotelna;boiler room;Heizungsraum
kotleta;chop;hacken
kotletka;chop;hacken
kotlina;basin;Becken
kotlinka;kotlinka;kotlinka
kotoul;roll;rollen
kotva;anchor;Anker
koudelka;koudelka;Kudelka
koudel;tow;Abschleppen
koukol;cockle;Herzmuschel
koule;ball;Ball
koupelna;bathroom;Bad
koupel;bath;Bad
kout;corner;Ecke
kouzelnice;sorceress;Zauberin
kovadlina;anvil;Amboss
kovadlinka;anvil;Amboss
kovariance;covariance;Kovarianz
kovbojka;cowgirl;Cowgirl
koverkot;cover;Startseite
kov;metal;Metall
kovolist;metalworker;Schlosser
kovoplast;metal plastic;Metall Kunststoff
kovral;kovral;kovral
koza;goat;Ziege
kozinka;kid;Kind
kozka;kozka;kozka
kozlice;goats;Ziegen
kozojedy;goats;Ziegen
kozolupy;goats;Ziegen
krabice;box;Kasten
krach;collapse;Zusammenbruch
krajanka;countrywoman;Bäuerin
krajina;country;Land
krajinka;landscape;Landschaft
krajinomalba;landscape painting;Landschaftsmalerei
krajka;lace;Spitze
krajkovina;lace;Spitze
krajnice;curbs;Bordsteine
krajta;python;Python
krakatoa;krakatoa;Krakatau
kraksna;jalopy;Kiste
kralupy;kralupy;kralupy
kramflek;heel;Hacke
kramle;kramle;Kramle
kramolna;kramolna;kramolna
kraniologie;craniology;Kraniologie
kraniometrie;craniometry;Kraniometrie
krapka;crap;Mist
krasavice;beauty;Schönheit
kras;kras;Krass
kraslice;Easter egg;Osterei
krasnojarsk;krasnojarsk;krasnojarsk
krasopis;calligraphy;Kalligraphie
krasotinka;beauty;Schönheit
kratiknot;short;kurz
kratochvilka;short time;kurze Zeit
kraul;crawl;kriechen
kravata;tie;binden
kravatka;tie;binden
kravina;cow;Kuh
kravinka;cow;Kuh
kravka;cow;Kuh
kra;floe;Scholle
krb;fireplace;Kamin
kreace;creation;Schaffung
kreacionistka;creationist;Kreationist
kreativita;creativity;Kreativität
kreatura;creature;Kreatur
kredenc;cupboard;Schrank
kredibilita;credibility;Glaubwürdigkeit
kredit;credit;Anerkennung
krecht;krecht;Krecht
krejcar;tailor;Schneider
krejon;krejon;krejon
kremace;cremation;Einäscherung
kreml;Kremlin;Kreml
kremnica;quartz;Quarz
krempa;brim;Rand
kremrole;canapes;Häppchen
kremrolka;kremrolka;kremrolka
kreol;Creole;Kreolisch
kreolizace;creolization;Kreolisierung
kreolka;creole;kreolisch
kreosot;creosote;Kreosot
kreozot;creosote;Kreosot
krep;crepe;Krepp
krepsilon;stretch nylon;Stretch-Nylon
kresba;drawing;Zeichnung
kreton;cretonne;Kretonne
krevel;blood;Blut
kreveta;shrimp;Garnele
krev;blood;Blut
krchleby;krchleby;krchleby
kriket;cricket;Kricket
krimikomedie;crime comedy;Krimikomödie
kriminalisace;criminalization;Kriminalisierung
kriminalistika;criminology;Kriminologie
kriminalistka;criminologist;Kriminologe
kriminalita;criminality;Kriminalität
kriminalizace;criminalization;Kriminalisierung
kriminologie;criminology;Kriminologie
kristinka;kristinka;kristinka
kritika;criticism;Kritik
krize;crisis;Krise
krkavice;krkavice;krkavice
krk;neck;Nacken
krkovice;neck;Nacken
krobatin;crobatin;Krobatin
kroketa;croquette;Krokette
kroket;croquet;Krocket
kroketka;croquette;Krokette
krokev;rafter;Sparren
krok;step;Schritt
krokus;crocus;Krokus
krompach;krompach;krompach
kronika;chronicle;Chronik
kropenka;font;Schriftart
kropka;kropka;kropka
kros;cross;Kreuz
krosna;krosna;Krosna
krotitelka;tamer;Dompteur
kroton;croton;Kroton
krouna;crown;Krone
kroupa;hail;Heil
krov;roof;Dach
krovka;shard;Scherbe
krtina;molehill;Maulwurfshügel
krucifix;crucifix;Kruzifix
kruh;ring;Ring
kruhovka;circular;kreisförmig
kruchta;kruchta;kruchta
krupice;semolina;Grieß
krupka;semolina;Grieß
krupon;krupon;krupon
krusta;crust;Kruste
krut;krut;krut
krvinka;blood cell;Blutzelle
krychle;cube;Würfel
krym;Crimea;Krim
kryobiologie;cryobiology;Kryobiologie
kryogenika;cryogenics;Kryotechnik
kryochirurgie;cryosurgery;Kryochirurgie
kryokonzervace;cryopreservation;Kryokonservierung
kryolit;cryolite;Kryolith
kryoprotein;cryoprotein;Kryoprotein
kryotechnika;cryotechnics;Kryotechnik
kryoterapie;cryotherapy;Kryotherapie
kryotherapie;cryotherapy;Kryotherapie
krypta;crypt;Krypta
kryptografie;cryptography;Kryptographie
kryptogram;cryptogram;Kryptogramm
kryptokomunistka;crypto-communist;krypto-kommunistisch
krypton;krypton;Krypton
kryptonka;kryptonka;Kryptonka
kryptosocialistka;cryptosocialist;Kryptosozialist
kryptoxantin;cryptoxanthin;Kryptoxanthin
kryptozoologie;cryptozoology;Kryptozoologie
krysa;rat;Ratte
krystal;crystal;Kristall
krystalizace;crystallization;Kristallisation
krystalka;crystal;Kristall
krystalografie;crystallography;Kristallographie
krystalografka;crystallographer;Kristallograph
kryt;cover;Startseite
krytina;covering;Abdeckung
krytka;cover;Startseite
ksicht;face;Gesicht
kubatura;cubic capacity;Hubraum
kuba;Cuba;Kuba
kubika;cubic;kubisch
kubistka;cubist;kubistisch
kubovka;cube;Würfel
kudlanka;mantis;Gottesanbeterin
kudla;jackknife;Klappmesser
kudrlinka;curls;Locken
kudrna;kink;Knick
kudrnka;curl;kräuseln
kudrnka;curl;kräuseln
kuenring;kuenring;künring
kufr;suitcase;Koffer
kukla;pupa;Puppe
kuks;cookie;Plätzchen
kulajda;kulajda;kulajda
kulatina;log;Protokoll
kulatinka;log;Protokoll
kulatka;round;runden
kule;diamonds;Diamanten
kulhavka;limp;schlaff
kulisa;scenery;Landschaft
kulka;bullet;Patrone
kulma;curling iron;Lockenstab
kulminace;culmination;Höhepunkt
kulomet;machine gun;Maschinengewehr
kulovnice;rifles;Gewehre
kult;cult;Kult
kultistka;cultist;Kultist
kultivace;cultivation;Anbau
kultivar;cultivar;Sorte
kultura;culture;Kultur
kulturistika;body-building;Bodybuilding
kulturistka;bodybuilder;Bodybuilder
kulturologie;culturology;Kulturologie
kumarin;coumarin;Cumarin
kumulace;cumulation;Kumulation
kumys;kumys;Kumys
kuna;marten;Marder
kunhuta;kunhuta;Kunhuta
kunsthistorie;art history;Kunstgeschichte
kupa;cumulus;Kumulus
kupka;bathroom;Bad
kuplet;cabaret song;Kabarett Lied
kupletistka;coupletist;Coupletist
kupole;dome;Kuppel
kupon;coupon;Coupon
kuprit;cuprite;Cuprit
kur;where;wo
kurie;curia;Kurie
kuriozita;curiosity;Neugier
kurkumin;curcumin;Kurkumin
kurs;course;Kurs
kursistka;kursistka;kursistka
kursor;cursor;Mauszeiger
kurt;kurt;Kurt
kurva;whore;Hure
kurz;course;Kurs
kurzistka;kurzistka;kurzistka
kurziva;italics;Kursivschrift
kurzor;cursor;Mauszeiger
kus;piece;Stück
kutilka;handyman;Heimwerker
kutloch;cutlery;Besteck
kutna;cowl;Haube
kutr;cutter;Cutter
kuvajt;Kuwait;Kuwait
kvadrant;quadrant;Quadrant
kvadratura;quadrature;Quadratur
kvadriatlonistka;quadriathlete;Vierkämpfer
kvadrika;square;Quadrat
kvadriliarda;quadrillion;Billiarde
kvadrilion;quadrillion;Billiarde
kvadruplegie;quadruplegia;Tetraplegie
kvalifikace;qualifications;Qualifikationen
kvalita;quality;Qualität
kvaltovka;quickie;schnell
kvantifikace;quantification;Quantifizierung
kvantil;quantile;Quantil
kvantita;quantity;Anzahl
kvap;drip;tropfen
kvarcit;quartzite;Quarzit
kvark;quark;Quark
kvartakord;quarter pass;Viertelpass
kvarta;quarter;Quartal
kvartdecima;quarterly;vierteljährlich
kvartetistka;quartetist;Quartett
kvartil;quartile;Quartil
kvartsextakord;quarter table;Vierteltisch
kvasar;kvasar;kvasar
kvas;ferment;Ferment
kvasinka;yeast;Hefe
kvaternion;quaternion;Quaternion
kvazar;quasar;Quasar
kvazialgebra;quasi-gebra;Quasi-gebra
kvazigrupa;quasigroup;Quasigruppe
kvazipropozice;quasiproposition;Quasisatz
kverulantka;quarrelsome;zänkisch
kvikot;quikot;Quikot
kvilda;woman;Frau
kvil;kvil;kvil
kvintakord;fifths;Quinten
kvinta;quint;Quint
kvintdecima;fifth;fünfte
kvintesence;quintessence;Quintessenz
kvintet;quintet;Quintett
kvintiliarda;quintiliarda;quintilarda
kvintilion;quintilion;Quintilion
kvitance;receipt;Erhalt
kviz;quiz;Quiz
kvocient;quotient;Quotient
kvotace;quota;Quote
kyanamid;cyanamide;Cyanamid
kyanatan;cyanate;Cyanat
kyan;kyan;Kyan
kyanid;cyanide;Zyanid
kyanidin;cyanidine;Cyanid
kyberkultura;cyberculture;Cyberkultur
kybernetika;cybernetics;Kybernetik
kyberprostor;cyberspace;Cyberspace
kyberpunk;cyberpunk;Cyberpunk
kyhanka;kyhanka;Kyhanka
kychta;kychta;Kychta
kyjovice;kyjovice;Kyjovice
kyjovka;kyjovka;Kyjovka
kynologie;cynology;Kynologie
kypr;Cyprus;Zypern
kyrgyzka;kyrgyzka;Kirgistan
kyrilika;Cyrillic;kyrillisch
kyrys;cuirass;Kürass
kyselina;acid;Säure
kyselinka;acid;Säure
kyselka;sorrel;Sauerampfer
kyselka;sorrel;Sauerampfer
kysibelka;kysibelka;Kysibelka
kysuca;kysuca;Kysuca
kytara;guitar;Gitarre
kytaristka;guitarist;Gitarrist
kyt;kyt;kyt
kytice;bouquet;Strauß
kytka;flower;Blume
kytlice;flowers;Blumen
kyveta;cuvette;Küvette
kyv;swing;schwingen
kyz;kyz;kyz
labilita;lability;Labilität
laborantka;laboratory assistant;Laborassistentin
labouristka;laborist;Arbeiter
labrador;labrador;Labrador
labradorit;labradorite;Labradorit
labyrint;labyrinth;Labyrinth
lacl;bib;Lätzchen
lada;lada;Lada
lada;lada;Lada
lad;lad;Junge
ladoga;ladoga;ladoga
lafeta;carriage;Wagen
lagos;lagos;Lagos
laguna;lagoon;Lagune
lahev;bottle;Flasche
lahoda;delicious;lecker
lahvice;bottles;Flaschen
lahvinka;bottle;Flasche
lahvovna;bottled;Flaschen-
lachema;lachema;Lachema
laicizace;secularization;Säkularisierung
lajna;line;Linie
lak;pickle;Essiggurke
lakmus;litmus;Lackmus
lakolit;lakolit;Lakolit
lakota;avarice;Habsucht
lakovka;varnish;Lack
lakovna;paint shop;Lackiererei
laktace;lactation;Stillzeit
laktitol;lactitol;Laktit
laktobakterie;lactobacteria;Laktobakterien
lakton;lactone;Lacton
laktosa;lactose;Laktose
lalok;lobe;Lappen
lamaistka;lamaistka;lamaistka
lama;lama;Lama
lambda;lambda;Lambda
lamela;lamella;Lamelle
lamentace;lamentation;Wehklage
lament;lament;Klage
laminace;lamination;Laminierung
lampas;lamps;Lampen
lampa;lamp;Lampe
lampion;lampion;Lampion
lampovka;lamp;Lampe
lamprofyr;lamprofyr;Lamprofier
lancasterka;lancasterka;Lancasterka
langage;language;Sprache
langusta;crawfish;Langusten
langustina;crawfish;Langusten
lanka;lanka;lanka
lanolin;lanolin;Lanolin
lanovka;cableway;Seilbahn
lantastic;lantastic;lantastisch
lanthan;lanthanum;Lanthan
lanthanoid;lanthanide;Lanthanid
laosanka;laosanka;laosanka
laos;Laos;Laos
laparoskop;laparoscope;Laparoskop
laparoskopie;laparoscopy;Laparoskopie
laptop;laptop;Laptop
larisa;larisa;larisa
larva;larva;Larve
laryngoskop;laryngoscope;Laryngoskop
laser;laser;Laser-
laseroterapie;laser therapy;Lasertherapie
lasice;weasel;Wiesel
laskomina;delicacy;Delikatesse
laskonka;laskonka;Laskonka
lastura;seashell;Muschel
lasturka;conch;Muschel
lasturnatka;shells;Muscheln
lata;years;Jahre
latence;latency;Latenz
lateralita;laterality;Lateralität
laterit;curse and swear;fluchen und schwören
latex;latex;Latex
latifundie;latifundie;latifundie
latifundistka;latifundistka;latifundistka
latina;Latin;Latein
latinka;Latin alphabet;Lateinisches Alphabet
laura;laura;Laura
lavice;bench;Bank
lavina;avalanche;Lawine
lazaret;hospital;Krankenhaus
lazaristka;lazaristka;lazaristka
lazebnice;bathhouse;Badehaus
lazura;stain;Fleck
leasing;leasing;Leasing
lea;lea;Lea
lebeda;live;Leben
lebedka;swan;Schwan
lebka;skull;Schädel
lecithin;lecithin;Lezithin
lecitin;lecithin;Lezithin
led;ice;Eis
lednice;fridge;Kühlschrank
ledolam;ice cream;Eis
ledovatka;iceberg;Eisberg
ledovka;iceberg;Eisberg
ledvina;kidney;Niere
ledvinka;kidney bag;Nierentasche
leeds;Leeds;Leeds
legalita;legality;Rechtmäßigkeit
legalizace;legalization;Legalisierung
legenda;legend;Legende
legendistika;legendistika;legendistik
legendistka;legendistka;legendistka
leghornka;leghornka;leghornka
legie;legion;Legion
leginy;leggings;Gamaschen
legislativa;legislation;Gesetzgebung
legistka;legistka;legistka
legistratura;literature;Literatur
legitimace;identification;Identifikation
legitimistka;legitimist;legitimistisch
legitimita;legitimacy;Legitimität
legitimizace;legitimization;Legitimation
legnice;legnica;Legnitz
legrace;fun;Spaß
leh;leh;leh
leitmotiv;leitmotif;Leitmotiv
lekce;lesson;Lektion
lektorka;lecturer;Dozent
lektvar;potion;Trank
lem;hem;Saum
lemmatizace;lemmatization;Lemmatisierung
lemovka;edging;Kanten
leningrad;leningrad;Leningrad
leninistka;leninist;Leninist
lenka;Lenka;Lenka
lenoch;sluggard;faul
lenora;lenora;Lenora
lentilka;lentilka;Linse
leona;leona;leona
leonka;leonka;Leonka
lepenistka;lepenistka;Lepenistka
lepenka;cardboard;Karton
lep;lep;Lep
lepidopterologie;lepidopterology;Lepidopterologie
lepra;leprosy;Lepra
lept;etching;Radierung
lepton;lepton;Lepton
lesba;dyke;Deich
lesk;gloss;Glanz
lesonice;lesonice;Lesonice
lesopark;forest park;Waldpark
lesothanka;lesothanka;Lesothek
lesovna;forest;Wald
letargie;lethargy;Lethargie
letenka;ticket;Fahrkarte
let;flight;Flug
letka;squadron;Geschwader
letokruh;annual ring;Jahresring
letopis;chronicle;Chronik
letora;temper;Temperament
letorost;letorost;letorost
letoun;airplane;Flugzeug
leucin;leucine;Leucin
leucit;leucite;Leuzit
leukemie;leukemia;Leukämie
leukocyt;leukocyte;Leukozyten
levandule;lavender;Lavendel
levhartice;leopards;Leoparden
leviatan;Leviathan;Leviathan
levice;left;links
levitace;levitation;Schweben
levobok;levobok;Lebobok
lewisit;lewisit;lewis
lexikalizace;lexicalization;Lexikalisierung
lexikografie;lexicography;Lexikographie
lexikografka;lexicographer;Lexikograph
lexikologie;lexicology;Lexikologie
lexikon;lexicon;Lexikon
lezba;lesbian;lesbisch
lhasa;Lhasa;Lhasa
lhota;lhota;lhota
lhotka;lhotka;lhotka
liazka;liazka;liazka
libanon;Lebanon;Libanon
libanonka;Lebanese;libanesisch
libecina;libecina;libecina
libela;level;Stufe
liberalistka;liberalist;Liberalist
liberalizace;liberalization;Liberalisierung
liberie;Liberia;Liberia
liberijka;Liberia;Liberia
liberka;liberka;liberka
libchava;libchava;libchava
libina;libina;Libina
libka;libka;libka
libkova;libkova;libkova
libozvuk;libozvuk;libozvuk
librace;libration;Libration
libra;pound;Pfund
libretistka;librettist;Textdichter
libverda;libverda;libverda
libye;Libya;Libyen
libyjka;Libya;Libyen
licence;license;Lizenz
licitace;bidding;Bieten
licous;licous;lecker
lidka;lidka;Lidka
lidmila;lidmila;Lidmila
lidovka;lidovka;lidovka
lidunka;lidunka;lidunka
lifting;lifting;Heben
ligatura;ligature;Ligatur
liga;league;Liga
ligistka;ligist;ligist
ligna;line;Linie
lignin;lignin;Lignin
lignit;lignite;Braunkohle
lihovar;distillery;Brennerei
lihovina;liquor;Alkohol
lichotka;compliment;Kompliment
lichotnice;flattery;Schmeichelei
lichva;usury;Wucher
likvidace;disposal;Entsorgung
likvidita;liquidity;Liquidität
liliana;liliana;Liliane
lilie;lily;Lilie
liliputka;liliputka;Liliputka
lima;lima;Lima
limba;limba;limba
limitace;limitations;Einschränkungen
limita;limit;Grenze
limit;limit;Grenze
limnologie;limnology;Limnologie
limonit;limonite;Limonit
lincoln;lincoln;Lincoln
lindava;beautiful;wunderschönen
linda;beautiful;wunderschönen
linearita;linearity;Linearität
linearizace;linearization;Linearisierung
lingvistika;linguistics;Linguistik
lingvistka;linguist;Linguist
liniatura;lineage;Abstammung
linie;line;Linie
linka;line;Linie
linoleoryt;linoleum;Linoleum
linoryt;linocut;Linolschnitt
linotyp;linotype;Linotypie
linux;linux;Linux
lipava;lipava;Lipava
lipid;lipid;Lipid
lipina;lipina;Lipina
lipinka;lipinka;Lipinka
lipka;lipka;Lipka
lipnice;lipnice;lippenschön
lipoprotein;lipoprotein;Lipoprotein
liposom;liposome;Liposom
liposukce;liposuction;Fettabsaugung
lira;lira;Lira
lisabon;Lisbon;Lissabon
lis;press;Drücken Sie
lisovna;press;Drücken Sie
listen;listen;Hör mal zu
list;blade;Klinge
listina;charter;Charta
listing;listing;Auflistung
listopad;November;November
listoplod;November;November
listovka;listovka;listowka
litanie;litany;Litanei
litava;Lithuania;Litauen
literatura;literature;Literatur
litera;letter;Buchstabe
literka;literka;Literka
litevka;Lithuanian;litauisch
litholrubin;litholrubin;Litholrubin
litice;hellcat;Höllenkatze
litina;cast iron;Gusseisen
litografie;lithography;Lithografie
litohlavy;litohlavy;litohlavy
litr;liter;Liter
litrovka;liter;Liter
liturgie;liturgy;Liturgie
liturgika;liturgy;Liturgie
litva;Lithuania;Litauen
liverpool;Liverpool;Liverpool
livie;livie;livie
livrej;livery;Lackierung
liz;liz;liz
lizka;lizka;lizka
ljuba;love;Liebe
lnice;flax;Flachs
loajalistka;loyalist;loyalist
loajalita;loyalty;Loyalität
lobbing;lobbying;Lobbyarbeit
lobbistka;lobbyist;Lobbyist
lobelka;lobelka;Lobelka
lobendava;lobendava;lobendava
lob;lob;Lob
lobistka;lobbyist;Lobbyist
lobotomie;lobotomy;Lobotomie
locika;locika;locika
lodice;boat;Boot
lodyha;stem;Stengel
logika;logic;Logik
logistika;logistics;Logistik
logogram;logogram;Logogramm
logopedie;speech therapist;sprachtherapeut
logopedka;speech therapist;sprachtherapeut
logoterapie;logotherapy;Logotherapie
lochneska;lochneska;lochneska
lojzka;lojzka;Lojzka
lokace;location;Lage
lokalistka;localist;Lokalist
lokalita;location;Lage
lokalizace;localization;Lokalisierung
lokativ;locative;Lokativ
lok;lok;ok
lokna;curl;kräuseln
lokomobila;locomotive;Lokomotive
lokomoce;locomotion;Fortbewegung
lokomotiva;locomotive;Lokomotive
lokomotivka;locomotive;Lokomotive
lombardie;Lombardy;Lombardei
lomenice;gable;Giebel
lom;quarry;Steinbruch
lomoz;noise;Lärm
looping;looping;Schleife
lopata;shovel;Schaufel
lopatka;paddle;Paddel
lopink;lopink;Lopink
lopota;toil;Mühsal
lopuch;burdock;Klette
loreta;loreta;loreta
loretka;loretka;loretka
lorka;lorka;lorka
losiny;losiny;verloren
los;los;los
loterie;lottery;Lotterie
lotharingie;lotharingie;Lotharingie
lotka;lotka;Lotka
lotos;lotus;Lotus
lotrovina;lottery;Lotterie
lotynka;lotynka;Lotynka
loudalka;loudalka;lautalka
louh;lye;Lauge
louisiana;louisiana;Louisiana
louka;meadow;Wiese
loukotka;loukotka;Loukotka
louny;louny;launisch
loutka;puppet;Marionette
loutna;lute;Laute
loutnistka;lutenist;Lautenist
lov;hunting;Jagd
loxodroma;loxodroma;Loxodrom
loza;loza;loza
luanda;luanda;Luanda
lub;or;oder
lubrikace;lubrication;Schmierung
lubrikant;lubricant;Schmiermittel
lucemburk;Luxembourg;Luxemburg
lucerna;lantern;Laterne
lucie;Lucy;Lucy
lucinka;lucinka;lucinka
lucka;lucka;Glück
ludina;ludina;ludina
ludmila;ludmila;Ludmila
ludvika;ludvika;Ludvika
luft;air;Luft
luh;luh;luh
luisiana;luisiana;luisiana
luk;bow;Bogen
lulka;lulka;lulka
luminace;luminace;Leuchtkraft
luminance;luminance;Leuchtdichte
luminiscence;luminescence;Lumineszenz
luminofor;phosphor;Phosphor
lunapark;amusement park;Vergnügungspark
luna;moon;Mond
luneta;bezel;Lünette
lunochod;lunochod;Lunochod
lupa;magnifying glass;Lupe
lupen;leaves;Blätter
lupenitka;psoriasis;Schuppenflechte
lupenka;psoriasis;Schuppenflechte
lup;loot;Beute
lupina;lupine;Lupine
luska;pod;Schote
lusk;pod;Schote
luskovina;legumes;Hülsenfrüchte
lustrace;lustration;Lustration
lustr;chandelier;Leuchter
lutein;lutein;Lutein
lutonina;lutonina;Lutonina
luxace;luxation;Luxation
luxol;luxol;Luxol
luxsekunda;luxsecond;LuxSekunde
luxus;luxury;Luxus
luza;mob;Mob
luzern;luzern;Luzern
lvice;lioness;Löwin
lyceistka;lyceistka;lyceistka
lykopen;lycopene;Lycopin
lymfadenitida;lymphadenitis;Lymphadenitis
lymfa;lymph;Lymphe
lyon;lyon;Lyon
lyra;lyre;Leier
lyrika;lyrics;Text
lysenka;lysenka;lysenka
lysina;bald spot;kahle Stelle
lysinka;bald spot;kahle Stelle
lyska;coot;Blässhuhn
lysozym;lysozyme;Lysozym
lyzin;lysine;Lysin
lyzol;lysol;Lysol
macecha;stepmother;Stiefmutter
macerace;maceration;Mazeration
madagaskar;Madagascar;Madagaskar
madeira;wood;Holz
madeirizace;madeirization;Madeirisierung
madlenka;madlenka;madlenka
madona;Madonna;Madonna
madonka;madonna;Madonna
madras;madras;Madras
madrid;Madrid;Madrid
madrigal;madrigal;Madrigal
madrigalistka;madrigalist;Madrigalist
maffie;maffie;maffie
mafie;mafia;Mafia
magdalena;magdalena;Magdalena
magdalenka;magdalenka;Magdalena
magda;magda;Magda
magie;magic;Magie
magika;magika;Magie
magistra;master;Meister
magna;magna;magna
magnet;magnet;Magnet
magnetit;magnetite;Magnetit
magnetizace;magnetization;Magnetisierung
magnetka;magnet;Magnet
magnetofon;tape recorder;Kassettenrekorder
magnetometr;magnetometer;Magnetometer
magnetooptika;magnetooptics;Magnetoptik
magnetoskop;magnetoscope;Magnetoskop
magnetron;magnetron;Magnetron
magnezit;magnesite;Magnesit
magnificence;magnificence;Pracht
magnituda;magnitude;Größe
magnolie;magnolia;Magnolie
mahagon;mahogany;Mahagoni-
mahdistka;mahdistka;mahdistka
mahulena;mahulena;Mahulena
mahulenka;mahulenka;Mahulenka
machiavelistka;machiavelistka;Machiavelistka
machinace;machinations;Machenschaften
machna;machna;Machna
machorka;machorka;Machorka
mailer;mailer;Mailer
mail;mail;Post
majdalena;majdalena;Majdalena
majetnice;property;Eigentum
majitelka;owner;Inhaber
majka;maypole;Maibaum
majolenka;majolenka;Majolenka
majolika;majolica;Majolika
majolka;majolka;Majolka
majoranta;majoranta;Majoranta
majorita;majority;mehrheitlich
majorizace;majorization;Majorisierung
majorka;majorka;Majorka
majuskule;capital letters;Großbuchstaben
makadam;macadam;Makadam
makaron;macaroni;Makkaroni
makedonie;Macedonia;Mazedonien
makedonka;Macedonian;mazedonisch
maketa;dummy;Attrappe
makistka;makistka;Makistka
makovice;poppies;Mohn
makovka;poppy seeds;Mohn
makrela;mackerel;Makrele
makrobiotika;macrobiotics;Makrobiotik
makroekonomie;macroeconomics;Makroökonomie
makroekonomika;macroeconomics;Makroökonomie
makrofonie;macrophony;Makrophonie
makrofotografie;macro photography;Makrofotografie
makrofyt;macrophyte;Makrophyt
makroinstrukce;macro instructions;Makroanweisungen
makrometoda;macromethod;Makromethode
makromolekula;macromolecule;Makromolekül
makroparametr;macroparameter;Makroparameter
makroprocesor;macroprocessor;Makroprozessor
makroprofil;macroprofile;Makroprofil
makrosituace;macrosituation;Makrosituation
makrostruktura;macrostructure;Makrostruktur
makrovegetace;macrovegetation;Makrovegetation
makulatura;waste paper;Altpapier
malaga;Malaga;Málaga
malachit;malachite;Malachit
malajka;Malay;malaiisch
malajsie;Malaysia;Malaysia
malawijka;Malawian;Malawi
malba;painting;malen
maledivanka;Maldivian;Maledivisch
maledivy;Maldives;Malediven
malenka;malenka;malenka
malformace;malformation;Missbildung
malijka;malijka;malijka
malina;raspberry;Himbeere
malinovka;raspberry;Himbeere
mallorca;mallorca;Mallorca
maloobchod;retail;Einzelhandel
maloobchodnice;retailer;Einzelhändler
malorolnice;small farmers;Kleinbauern
malotraktor;small tractor;kleiner Traktor
malta;Malta;Malta
malta;Malta;Malta
maltitol;maltitol;Maltit
maltol;maltol;maltol
maltosa;maltose;Maltose
malvaz;malmsey;Malvasier
malvazinka;malvazinka;Malwasinka
malvice;malvice;Bosheit
malvidin;malvidin;malvidin
mamina;mom;Mutter
maminka;mom;Mutter
mamka;mom;Mutter
mamon;mammon;Mammon
management;management;Management
manager;manager;Manager
managua;management;Management
mana;polly;Polly
mandantka;client;Klient
mandarinka;tangerine;Mandarine
mandelinka;Colorado beetle;Kartoffelkäfer
mandle;almond;Mandel
mandl;mangle;Mangel
mandlovna;almond;Mandel
mandolinistka;mandolinist;Mandoline
mandragora;mandrake;Alraune
manganan;manganan;Mangan
mangan;manganese;Mangan
manganistan;permanganate;Permanganat
manganit;manganite;Manganit
manganometrie;manganometry;Manganometrie
mangold;chard;Mangold
manhattan;Manhattan;Manhattan
manchester;Manchester;Manchester
manifestace;manifestation;Manifestation
manifest;manifesto;Manifest
manikura;manicure;Maniküre
manila;manila;Manila
maniodepresivita;manic depression;manische Depression
manioka;cassava;Maniok
maniok;cassava;Maniok
manipulace;manipulation;Manipulation
manipulantka;manipulator;Manipulator
manitol;mannitol;Mannit
manka;short;kurz
mannheim;mannheim;Mannheim
mannitol;mannitol;Mannit
manometr;manometer;Manometer
mansarda;attic;Dachgeschoß
mantinel;cushion;Kissen
mantisa;mantisa;Gottesanbeterin
mantra;mantra;mantra
manuela;manuela;Manuela
manufaktura;manufactory;Manufaktur
manuskript;manuscript;Manuskript
maoistka;maoistka;Maoistka
mapa;map;Karte
mapka;map;Karte
maranta;maranta;Maranta
marasca;marasca;Maraska
maraska;maraska;Maraska
marast;marast;Marast
maraton;marathon;Marathon-
marcela;marcela;Marcela
marcelka;marcelka;Marcelka
margarin;margarine;Margarine
marharie;marharie;marharie
mariana;mariana;Mariana
marianka;marianka;Marianka
maria;maria;Maria
marie;marie;Marie
marihuana;marijuana;Marihuana
marika;marika;Marika
marina;marina;Yachthafen
maringotka;caravan;Wohnwagen
marinka;marinka;Marinka
mariologie;mariology;Mariologie
marioneta;puppet;Marionette
marionetka;puppet;Marionette
marka;mark;Kennzeichen
marke;brand;Marke
marker;marker;Marker
market;market;Markt
marketing;marketing;Marketing
marketink;marketing;Marketing
markomanie;markomanie;Markomanie
marnotratnice;wastes;Abfälle
marodka;marodka;Marodka
mars;Mars;Mars
marta;marta;marta
martensit;martensit;Martensit
martensitika;martensitika;Martensitika
martenzit;martensite;Martensit
martina;martina;Martina
martinik;martinique;Martinique
martinka;martinka;Martinka
marxistka;Marxist;Marxist
marxleninistka;Marxleninist;Marxleninist
masakr;massacre;Massaker
masa;mass;Masse
maser;masseur;Masseur
masiv;massive;fest
maska;mask;Maske
maskulinita;masculinity;Männlichkeit
masna;meat;Fleisch
masochistka;masochist;Masochist
masopust;carnival;Karneval
mastic;mastic;Mastix
mastif;mastiff;Dogge
